lat,lon,00:00Z 2025-03-05,00:00Z 2025-03-06,00:00Z 2025-03-07,00:00Z 2025-03-08,00:00Z 2025-03-09,00:00Z 2025-03-10,00:00Z 2025-03-11,00:00Z 2025-03-12,00:00Z 2025-03-13
5.002144,96.36739,2.190000057220459,23.450000762939453,79.94000244140625,118.44000244140625,49.380001068115234,72.2699966430664,23.950000762939453,25.520000457763672,10.4399995803833
5.002144,96.45053,2.299999952316284,15.960000038146973,92.81999969482422,62.13999938964844,43.400001525878906,48.90999984741211,61.11000061035156,17.989999771118164,6.78000020980835
5.002144,96.53367,6.0,26.989999771118164,105.05000305175781,46.58000183105469,63.220001220703125,9.979999542236328,10.640000343322754,8.09000015258789,5.980000019073486
5.002144,96.616806,8.25,30.079999923706055,40.20000076293945,44.47999954223633,61.27000045776367,11.5600004196167,16.010000228881836,7.559999942779541,0.03999999910593033
5.002144,96.69994,0.5299999713897705,24.6299991607666,36.70000076293945,16.920000076293945,32.11000061035156,29.299999237060547,15.579999923706055,2.75,0.8700000047683716
5.002144,96.78308,14.359999656677246,37.86000061035156,25.040000915527344,15.420000076293945,12.0,95.62999725341797,10.4399995803833,0.4699999988079071,0.10999999940395355
5.002144,96.86621,27.190000534057617,16.459999084472656,16.34000015258789,4.130000114440918,4.159999847412109,94.27999877929688,106.88999938964844,0.5299999713897705,0.6000000238418579
5.002144,96.94935,0.5199999809265137,10.279999732971191,19.15999984741211,0.6499999761581421,8.460000038146973,62.279998779296875,16.639999389648438,1.6799999475479126,7.349999904632568
5.002144,97.032486,4.869999885559082,5.369999885559082,13.739999771118164,1.9600000381469727,10.289999961853027,12.470000267028809,11.880000114440918,9.149999618530273,4.630000114440918
5.002144,97.11562,24.260000228881836,4.510000228881836,2.9600000381469727,7.96999979019165,2.430000066757202,9.390000343322754,12.9399995803833,4.480000019073486,0.0
5.002144,97.19876,19.110000610351562,8.270000457763672,2.640000104904175,6.929999828338623,7.269999980926514,13.329999923706055,38.95000076293945,1.0499999523162842,0.0
5.002144,97.28189,0.5899999737739563,2.5999999046325684,1.6399999856948853,0.25,3.740000009536743,60.290000915527344,9.229999542236328,0.5099999904632568,0.009999999776482582
5.002144,97.36503,0.0,0.0,0.05000000074505806,0.17000000178813934,2.9000000953674316,44.959999084472656,5.230000019073486,3.3299999237060547,0.0
5.002144,97.448166,0.05000000074505806,0.0,0.0,1.340000033378601,1.1299999952316284,9.520000457763672,2.0899999141693115,0.949999988079071,0.0
5.002144,97.5313,0.0,0.029999999329447746,0.0,3.5199999809265137,0.9100000262260437,3.0,2.0399999618530273,1.3700000047683716,0.0
5.002144,97.61444,0.009999999776482582,0.4699999988079071,0.38999998569488525,0.8399999737739563,2.9100000858306885,2.240000009536743,0.5299999713897705,0.7300000190734863,0.019999999552965164
5.002144,97.69757,0.029999999329447746,0.550000011920929,0.1899999976158142,3.0399999618530273,6.989999771118164,4.510000228881836,0.5199999809265137,0.5899999737739563,0.029999999329447746
5.002144,97.78071,0.0,1.6699999570846558,2.4700000286102295,15.1899995803833,7.900000095367432,3.049999952316284,1.5499999523162842,0.0,0.6299999952316284
5.002144,97.863846,0.09000000357627869,0.33000001311302185,4.429999828338623,23.829999923706055,13.390000343322754,2.509999990463257,2.240000009536743,0.1899999976158142,1.5700000524520874
5.002144,97.94698,0.019999999552965164,1.7100000381469727,7.340000152587891,20.809999465942383,18.229999542236328,4.96999979019165,3.4800000190734863,0.0,3.2799999713897705
5.002144,98.03012,1.2799999713897705,1.9700000286102295,13.199999809265137,28.530000686645508,20.239999771118164,43.630001068115234,2.0,0.0,5.260000228881836
