DateTime,E.91,E.8A,BTH,E.66A,E.87,WY,RE
22/07/2025 03:00,140.531585693,175.561248779,189.37097168,206.401824951,147.419967651,201.418029785,382.687713623
22/07/2025 04:00,138.636016846,173.859268188,187.262985229,204.42414856,147.497467041,198.804046631,381.980163574
22/07/2025 05:00,136.741378784,172.169006348,185.989074707,203.055892944,147.574966431,197.908615112,381.261291504
22/07/2025 06:00,134.846618652,170.455245972,184.710876465,201.777603149,147.65246582,194.817306519,380.496734619
22/07/2025 07:00,132.907958984,134.483886719,156.58706665,168.873016357,147.729980469,175.441223145,296.695861816
22/07/2025 08:00,132.249664307,134.32623291,147.301864624,167.616455078,147.399642944,166.095169067,296.702209473
22/07/2025 09:00,131.605682373,134.707244873,143.083679199,165.561477661,147.076568604,162.225860596,297.710235596
22/07/2025 10:00,130.975250244,134.90914917,141.932022095,162.630203247,146.760635376,158.628173828,298.241241455
22/07/2025 11:00,130.357910156,134.985229492,140.5052948,161.888366699,146.451675415,158.118728638,298.669799805
22/07/2025 12:00,129.751998901,134.991165161,140.131958008,160.669570923,146.149475098,157.182830811,299.013580322
22/07/2025 13:00,129.16305542,134.950592041,139.026046753,158.729492188,145.85395813,154.805648804,299.287078857
22/07/2025 14:00,128.585723877,134.880020142,138.746810913,157.708007812,145.564956665,154.501876831,299.512145996
22/07/2025 15:00,128.019668579,134.77142334,138.585479736,156.872390747,145.282302856,153.893630981,299.665557861
22/07/2025 16:00,127.464981079,134.627548218,138.358474731,156.087478638,145.005859375,153.262145996,299.781890869
22/07/2025 17:00,126.926048279,134.453872681,138.116195679,155.330337524,144.735534668,150.351623535,299.85736084
22/07/2025 18:00,126.397018433,134.261444092,137.18800354,153.935638428,144.471160889,150.711578369,299.900543213
22/07/2025 19:00,125.879310608,134.032821655,137.033203125,153.242126465,144.212600708,150.579025269,299.917572021
22/07/2025 20:00,125.374320984,133.769821167,136.946594238,152.715179443,143.959762573,150.216781616,299.874786377
22/07/2025 21:00,124.87903595,133.480651855,136.777130127,152.21836853,143.712478638,149.808578491,299.810546875
22/07/2025 22:00,124.397087097,133.172393799,136.577560425,151.729202271,143.470611572,149.362976074,299.725341797
22/07/2025 23:00,123.922828674,132.846557617,136.352523804,151.255264282,143.234115601,148.909423828,299.622711182
23/07/2025 00:00,123.460525513,132.501647949,136.110534668,150.796966553,143.002822876,148.456283569,299.505401611
23/07/2025 01:00,123.006698608,132.143508911,135.740158081,149.0287323,142.776626587,146.178970337,299.367370605
23/07/2025 02:00,122.565505981,131.768157959,134.883453369,149.061584473,142.555404663,146.51399231,299.217010498
23/07/2025 03:00,122.134429932,131.377502441,134.813568115,148.73991394,142.339111328,146.320602417,299.039428711
23/07/2025 04:00,121.708045959,130.971511841,134.640853882,148.371582031,142.127548218,146.024490356,298.830383301
23/07/2025 05:00,121.295021057,130.555740356,134.404754639,147.96472168,141.920623779,145.663757324,298.607910156
23/07/2025 06:00,120.890190125,130.139663696,134.13949585,147.589675903,141.718307495,145.267852783,298.385650635
23/07/2025 07:00,120.496368408,129.721511841,133.851043701,147.189376831,141.520431519,144.854614258,298.150238037
23/07/2025 08:00,120.109573364,129.296035767,133.547592163,146.785415649,141.326950073,144.426620483,297.903808594
23/07/2025 09:00,119.731208801,128.869308472,133.233215332,146.376785278,141.137695312,143.984985352,297.651794434
23/07/2025 10:00,119.359481812,128.443481445,132.212814331,144.791229248,140.952651978,141.806655884,297.390533447
23/07/2025 11:00,119.00113678,128.018341064,131.862182617,144.671035767,140.771682739,142.062850952,297.115631104
23/07/2025 12:00,118.646606445,127.58795166,131.727508545,144.368209839,140.594726562,141.844711304,296.799041748
23/07/2025 13:00,118.300323486,127.148628235,131.488830566,144.01008606,140.421646118,141.532943726,296.494628906
23/07/2025 14:00,117.962051392,126.719947815,131.199920654,143.602294922,140.252441406,141.157424927,296.166687012
23/07/2025 15:00,117.629966736,126.292884827,130.880340576,143.20274353,140.086929321,140.74432373,295.839660645
23/07/2025 16:00,117.307571411,125.872215271,130.546661377,142.800918579,139.925094604,140.314910889,295.503753662
23/07/2025 17:00,116.994651794,125.456726074,130.203842163,142.381698608,139.766830444,139.874832153,295.164459229
23/07/2025 18:00,116.68258667,125.046600342,129.856765747,141.955978394,139.612075806,136.973556519,294.818023682
23/07/2025 19:00,116.381538391,124.639503479,128.771255493,140.762466431,139.460891724,137.493606567,294.467468262
23/07/2025 20:00,116.087280273,124.234840393,128.504455566,140.25592041,139.312942505,137.553833008,294.104125977
23/07/2025 21:00,115.798286438,123.835739136,128.316360474,139.90322876,139.168212891,137.30569458,293.709197998
23/07/2025 22:00,115.515586853,123.433609009,128.046661377,139.540359497,139.02671814,136.983566284,293.314605713
23/07/2025 23:00,115.239967346,123.040100098,127.738746643,139.142227173,138.88835144,136.599472046,292.91494751
24/07/2025 00:00,114.969367981,122.649848938,127.410514832,138.743911743,138.753051758,136.191741943,292.513183594
24/07/2025 01:00,114.70627594,122.273551941,127.081764221,138.340621948,138.620758057,135.768783569,292.109924316
24/07/2025 02:00,114.446220398,121.90146637,126.737052917,137.924377441,138.491409302,135.340194702,291.69732666
24/07/2025 03:00,114.195472717,121.53326416,126.39680481,137.502975464,138.364944458,132.774368286,291.284423828
24/07/2025 04:00,113.949897766,121.174560547,125.327926636,136.342208862,138.241256714,133.139526367,290.863769531
24/07/2025 05:00,113.708274841,120.818000793,125.105857849,135.852966309,138.120346069,133.10609436,290.445373535
24/07/2025 06:00,113.4715271,120.456893921,124.914863586,135.481826782,138.002120972,132.863021851,289.988830566
24/07/2025 07:00,113.242469788,120.106628418,124.654121399,135.122680664,137.886535645,132.557006836,289.539123535
24/07/2025 08:00,113.018234253,119.762054443,124.36769104,134.752975464,137.773590088,132.200332642,289.08215332
24/07/2025 09:00,112.796737671,119.425514221,124.071014404,134.377838135,137.663101196,131.822006226,288.633026123
24/07/2025 10:00,112.581802368,119.097229004,123.760437012,134.000961304,137.55519104,131.434677124,288.177856445
24/07/2025 11:00,112.372489929,118.773216248,123.445869446,133.6144104,137.44972229,131.040679932,287.719451904
24/07/2025 12:00,112.166725159,118.454566956,123.134231567,133.222183228,137.34664917,130.643096924,287.263763428
24/07/2025 13:00,111.966163635,118.14263916,122.10358429,131.891204834,137.245925903,128.558822632,286.807159424
24/07/2025 14:00,111.768379211,117.836509705,121.804130554,131.529251099,137.147537231,128.790725708,286.349029541
24/07/2025 15:00,111.578712463,117.532073975,121.682136536,131.251480103,137.051437378,128.639877319,285.858459473
24/07/2025 16:00,111.390075684,117.228370667,121.484733582,130.945526123,136.957595825,128.398788452,285.380615234
24/07/2025 17:00,111.206382751,116.92993927,121.242546082,130.596817017,136.865966797,128.09475708,284.894500732
24/07/2025 18:00,111.02897644,116.639251709,120.204597473,129.321044922,136.776504517,126.037147522,284.412231445
24/07/2025 19:00,110.853347778,116.357978821,119.200912476,127.916130066,136.689239502,124.426811218,283.93347168
24/07/2025 20:00,110.683120728,116.080917358,119.105331421,125.83921051,136.604064941,122.65927887,283.423614502
24/07/2025 21:00,110.514541626,115.79447937,118.252372742,126.549369812,136.521011353,120.5493927,282.890197754
24/07/2025 22:00,110.352432251,115.510261536,117.414466858,125.447311401,136.4400177,121.870979309,282.365234375
